,price,mileage,transmission,emission_class,fuel,link,co2,brand,model,warranty,year,brand_model
101,20899.0,23113.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-gt/id/4890112,134.0,peugeot,2008,12.0,2023,peugeot 2008
102,15199.0,29480.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4890140,122.0,peugeot,2008,12.0,2022,peugeot 2008
103,13399.0,50415.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4887365,123.0,peugeot,2008,12.0,2021,peugeot 2008
104,15998.0,56266.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure-ss/id/4887505,109.0,peugeot,2008,12.0,2020,peugeot 2008
105,9900.0,63578.0,manual,Euro 6b,diesel,https://gocar.be/en/cars/peugeot/2008/16-bluehdi-100cv-63000km-tpano-cuir-clim/id/4887236,97.0,peugeot,2008,12.0,2016,peugeot 2008
106,16490.0,35751.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/style-12i-100pk/id/4888011,122.0,peugeot,2008,12.0,2023,peugeot 2008
107,9299.0,74997.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4887437,103.0,peugeot,2008,12.0,2018,peugeot 2008
108,22490.0,25418.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/130-pk-at-camera-keyless-navi-airco-adapt-cruise-contr-carplayandroid/id/4887248,117.0,peugeot,408,0.0,2024,peugeot 408
109,19850.0,29995.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-allure-360-camera-blis-acc-24-29000km-43930/id/4887573,123.0,peugeot,2008,12.0,2024,peugeot 2008
110,9999.0,67297.0,manual,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12i-puretech-83pk-navigatie-carplay-bluetooth-ac/id/4887402,114.0,peugeot,2008,12.0,2019,peugeot 2008
111,27340.0,17802.0,automatic,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-allure-130-pk-automaat-navigatie-apple-carplayandroid-auto-airco-camera-parkeer-sensoren-cruise-control-led-lichtmetalen-velgen-stoelverwarming/id/4886010,136.0,peugeot,408,0.0,2024,peugeot 408
112,18490.0,64200.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-50-kwh-gt-tva-recup-carplay-pano-camera/id/4886130,117.0,peugeot,2008,12.0,2021,peugeot 2008
113,12950.0,63158.0,automatic,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-81kw-ss-eat6-allure/id/4886929,129.0,peugeot,2008,12.0,2019,peugeot 2008
114,13899.0,18791.0,automatic,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4886686,155.0,peugeot,2008,12.0,2018,peugeot 2008
115,9999.0,58654.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure/id/4883477,103.0,peugeot,2008,12.0,2017,peugeot 2008
116,22950.0,10957.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure/id/4883384,137.0,peugeot,2008,12.0,2024,peugeot 2008
117,39575.0,4152.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-gt-gps-camera-led-lights-alu19/id/4883646,0.0,peugeot,408,3.0,2024,peugeot 408
119,18650.0,40063.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-eat8-active/id/4883465,133.0,peugeot,2008,12.0,2023,peugeot 2008
122,30900.0,10701.0,automatic,Euro 6d,hybrid - petrol,https://gocar.be/en/cars/peugeot/408/180pk-plugin-hybr-360-camera-dodehoekdet-adapt-cruise-contr-carplay-trekhaak/id/4883540,26.0,peugeot,408,0.0,2024,peugeot 408
123,21900.0,28498.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-camera-carplay-led/id/4882212,117.0,peugeot,2008,0.0,2023,peugeot 2008
124,20995.0,26346.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/e-gt-50-kwh-e-gt-50-kwh-at-gps-carplay-halfleder-camera-pdc-cruise-alu-17/id/4881455,117.0,peugeot,2008,0.0,2021,peugeot 2008
125,22495.0,33150.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/allure-50-kwh-allure-50-kwh-at-carplay-halfleder-pdc-cruise-alu-17/id/4881792,117.0,peugeot,2008,0.0,2022,peugeot 2008
126,13990.0,78870.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/2008-12-allure/id/4881699,117.0,peugeot,2008,0.0,2021,peugeot 2008
127,23000.0,26418.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/puretech-ss-gt-eat8/id/4881425,137.0,peugeot,2008,24.0,2023,peugeot 2008
128,18790.0,89180.0,manual,Euro 6d,diesel,https://gocar.be/en/cars/peugeot/2008/15-bluehdi-gt-lederstof-led-gps-pdc-grip-control-acc-trekhaak/id/4881821,118.0,peugeot,2008,12.0,2021,peugeot 2008
129,13950.0,49887.0,manual,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/2008/2008-12-puretech-allure-carplay-navi-cuir-camera/id/4881907,117.0,peugeot,2008,12.0,2020,peugeot 2008
130,31900.0,16709.0,automatic,Euro 6,hybrid - petrol,https://gocar.be/en/cars/peugeot/408/gt-plugin-hybr-180-pk-pano-schuifd-massage-leder-camera-keyless-navi/id/4879928,117.0,peugeot,408,0.0,2024,peugeot 408
131,24790.0,38003.0,automatic,Euro 6d,petrol,https://gocar.be/en/cars/peugeot/408/n-a/id/4880509,125.0,peugeot,408,12.0,2024,peugeot 408
132,22244.0,46614.0,automatic,Euro 6d-TEMP,diesel,https://gocar.be/en/cars/peugeot/2008/15-bluehdi-allure-apple-carplay-camera-cruise-control/id/4879957,131.0,peugeot,2008,0.0,2023,peugeot 2008
133,23998.0,19933.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4881217,136.0,peugeot,408,12.0,2024,peugeot 408
134,18650.0,30160.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/2008-puretech-100-allure-navi-smartlink-pdccc/id/4880660,126.0,peugeot,2008,12.0,2024,peugeot 2008
135,26500.0,2.0,automatic,Euro 6,hybrid - petrol,https://gocar.be/en/cars/peugeot/2008/hybrid-allure-e-dsc6/id/4879911,110.0,peugeot,2008,24.0,2024,peugeot 2008
136,19995.0,50568.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/gt-pack-full-option/id/4879936,137.0,peugeot,2008,12.0,2021,peugeot 2008
137,10950.0,45284.0,automatic,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/12-essence-boite-auto-faible-km/id/4879335,111.0,peugeot,2008,0.0,2017,peugeot 2008
138,8450.0,90137.0,manual,Euro 5,petrol,https://gocar.be/en/cars/peugeot/2008/style/id/4879565,114.0,peugeot,2008,12.0,2018,peugeot 2008
139,15950.0,103630.0,automatic,Euro 6d,diesel,https://gocar.be/en/cars/peugeot/2008/2008-15-bluehdi-allure-packgpscarplayledcam/id/4879559,129.0,peugeot,2008,12.0,2020,peugeot 2008
140,23999.0,33505.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/allure-pack-cuir-navi-full-led/id/4879166,136.0,peugeot,408,12.0,2023,peugeot 408
141,22495.0,33909.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-line-gps-drive-assist-vision-pack-led/id/4879581,0.0,peugeot,2008,3.0,2024,peugeot 2008
142,11990.0,69674.0,manual,Euro 6d-TEMP,petrol,https://gocar.be/en/cars/peugeot/2008/active/id/4879066,5.0,peugeot,2008,12.0,2020,peugeot 2008
143,23900.0,29180.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure-pack/id/4878164,105.0,peugeot,2008,12.0,2023,peugeot 2008
144,22950.0,13587.0,automatic,Euro 6d-TEMP,electric,https://gocar.be/en/cars/peugeot/2008/style/id/4878413,0.0,peugeot,2008,12.0,2023,peugeot 2008
145,23998.0,24889.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4878317,136.0,peugeot,408,12.0,2024,peugeot 408
146,29299.0,15962.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-mild-hybrid-gt/id/4878640,115.0,peugeot,408,12.0,2024,peugeot 408
148,23900.0,15000.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure/id/4877100,122.0,peugeot,2008,12.0,2023,peugeot 2008
149,21900.0,40931.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure-pack/id/4877092,103.0,peugeot,2008,12.0,2022,peugeot 2008
150,17490.0,36568.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4877078,125.0,peugeot,2008,12.0,2021,peugeot 2008
151,45510.0,14411.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-gt-gps-led-alu18/id/4875228,0.0,peugeot,408,3.0,2024,peugeot 408
152,17900.0,28027.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/100-pk-mt-parkeers-va-airco-cruise-contr-carplayandroid/id/4874877,117.0,peugeot,2008,0.0,2024,peugeot 2008
153,23998.0,19071.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4875393,136.0,peugeot,408,12.0,2024,peugeot 408
154,16500.0,67781.0,automatic,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-eat8-style/id/4875532,133.0,peugeot,2008,12.0,2021,peugeot 2008
155,8450.0,65000.0,manual,Euro 6b,petrol,https://gocar.be/en/cars/peugeot/2008/12-pure-tech-allure-042016-65000-km/id/4875724,103.0,peugeot,2008,0.0,2016,peugeot 2008
157,14990.0,76293.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/allure-pack-12i-130pk/id/4874508,103.0,peugeot,2008,12.0,2021,peugeot 2008
158,17900.0,30452.0,manual,Euro 6,petrol,https://gocar.be/en/cars/peugeot/2008/100-pk-mt-parkeers-va-airco-cruise-contr-carplayandroid/id/4874426,117.0,peugeot,2008,0.0,2024,peugeot 2008
