,mileage,transmission,link,price,emission_class,fuel,co2,brand,model,warranty,year,brand_model
28,47685.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure360-cameraall-season-bandenkeyless/id/4901662,21490.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
29,11573.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4901758,18399.0,Euro 6d,petrol,140.0,peugeot,2008,12.0,2020.0,peugeot 2008
30,53661.0,automatic,https://gocar.be/en/cars/peugeot/408/allure-pack/id/4901509,21990.0,Euro 6d,petrol,138.0,peugeot,408,12.0,2023.0,peugeot 408
31,35462.0,automatic,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4900776,21399.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
32,51000.0,manual,https://gocar.be/en/cars/peugeot/2008/12-e-thp-allure-042016-51000-km/id/4899513,9250.0,Euro 6b,petrol,110.0,peugeot,2008,12.0,2016.0,peugeot 2008
34,22815.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-130-gt-cimate-control-cruise-control-led-achteruitrij-camera-navigatie-parkeersensor-achter-lichtmetalen-velgen-led-dab/id/4898441,23690.0,Euro 6d,petrol,126.0,peugeot,2008,0.0,2023.0,peugeot 2008
35,4752.0,automatic,https://gocar.be/en/cars/peugeot/2008/turbo-allure-eat8/id/4898387,24000.0,Euro 6,petrol,137.0,peugeot,2008,24.0,2025.0,peugeot 2008
36,31953.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-50kwh/id/4898908,19650.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,12.0,2021.0,peugeot 2008
37,46796.0,manual,https://gocar.be/en/cars/peugeot/2008/allure/id/4899000,16490.0,Euro 6,petrol,103.0,peugeot,2008,12.0,2021.0,peugeot 2008
38,18690.0,manual,https://gocar.be/en/cars/peugeot/2008/12-t-100-allure-gps-by-app-led-lights-alu17/id/4898682,28850.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
40,70000.0,automatic,https://gocar.be/en/cars/peugeot/2008/allurecuirnaviradarjantesled-intelligent/id/4899178,17990.0,Euro 6d-TEMP,diesel,117.0,peugeot,2008,12.0,2022.0,peugeot 2008
41,35006.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure-50-kwh-allure-50-kwh-at-gps-camera-pdc-cruiseacc-halfleder-alu-17/id/4897830,22995.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,0.0,2023.0,peugeot 2008
42,20.0,automatic,https://gocar.be/en/cars/peugeot/2008/hybrid-145-e-dcs6-allure/id/4897807,28300.0,Euro 6,petrol,112.0,peugeot,2008,24.0,2025.0,peugeot 2008
43,31577.0,automatic,https://gocar.be/en/cars/peugeot/408/12t-allure-automaat/id/4897258,22950.0,Euro 6,petrol,136.0,peugeot,408,12.0,2023.0,peugeot 408
44,52075.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-camera-full-led/id/4898068,23998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
45,90000.0,manual,https://gocar.be/en/cars/peugeot/2008/12istylegpsaircopdccruisebletooth/id/4897885,6990.0,Euro 6b,petrol,117.0,peugeot,2008,12.0,2017.0,peugeot 2008
46,78738.0,manual,https://gocar.be/en/cars/peugeot/2008/active-pack-12-park-assistent-trekhaak/id/4897136,14985.0,Euro 6,petrol,123.0,peugeot,2008,0.0,2022.0,peugeot 2008
47,30771.0,automatic,https://gocar.be/en/cars/peugeot/2008/12i-gt-eat8-full-option/id/4897583,23650.0,Euro 6,petrol,1.0,peugeot,2008,24.0,2024.0,peugeot 2008
48,14140.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-allure-130-automaat-navigatie-carplayandroid-auto-climate-control-adaptive-cruise-control-virtual-cockpit-pdc-va-360-camera-full-led-lm-velgen/id/4897441,28590.0,Euro 6,petrol,136.0,peugeot,408,0.0,2024.0,peugeot 408
50,27574.0,automatic,https://gocar.be/en/cars/peugeot/2008/12i-eat8-gt-full-option/id/4897618,23750.0,Euro 6,petrol,1.0,peugeot,2008,24.0,2024.0,peugeot 2008
53,61726.0,manual,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-style-camera-22-61000km-85266/id/4897009,14495.0,Euro 6d,petrol,123.0,peugeot,2008,12.0,2022.0,peugeot 2008
54,70529.0,manual,https://gocar.be/en/cars/peugeot/2008/allure/id/4896691,6990.0,Euro 5,petrol,103.0,peugeot,2008,0.0,2017.0,peugeot 2008
56,11675.0,manual,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-allure-camera-24-11000km-25189/id/4896325,18985.0,Euro 6,petrol,126.0,peugeot,2008,12.0,2024.0,peugeot 2008
57,34937.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4896339,18499.0,Euro 6d,petrol,139.0,peugeot,2008,12.0,2020.0,peugeot 2008
58,42005.0,manual,https://gocar.be/en/cars/peugeot/2008/12-e-vti-style/id/4896420,9999.0,Euro 6d-TEMP,petrol,140.0,peugeot,2008,12.0,2019.0,peugeot 2008
59,26608.0,manual,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-allure-gps-led-lights-alu17/id/4896671,20995.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
60,58500.0,manual,https://gocar.be/en/cars/peugeot/2008/n-a/id/4896951,7999.0,Euro 6,petrol,117.0,peugeot,2008,0.0,2016.0,peugeot 2008
61,94698.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-130pk-automaat-allure-navigatie-climate-control-led-lichtmetalen-velgen-parkeer-sensoren-cruise-control/id/4895615,21990.0,Euro 6d,petrol,133.0,peugeot,2008,0.0,2023.0,peugeot 2008
62,46101.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-2008-electric-drive-57-kw-e-active/id/4895696,19299.0,Euro 6,electric,117.0,peugeot,2008,12.0,2021.0,peugeot 2008
63,68533.0,automatic,https://gocar.be/en/cars/peugeot/408/408-allure-auto-full-led/id/4895186,19998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2023.0,peugeot 408
64,39689.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130-ss-eat8-gt/id/4895253,24450.0,Euro 6,petrol,136.0,peugeot,408,12.0,2022.0,peugeot 408
65,20422.0,automatic,https://gocar.be/en/cars/peugeot/2008/12t-allure-automaat/id/4895389,21599.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
66,31307.0,automatic,https://gocar.be/en/cars/peugeot/2008/12t-gt-automaat/id/4895383,21899.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
69,34776.0,automatic,https://gocar.be/en/cars/peugeot/408/gt-12-benzine-130-eat-8/id/4894203,27490.0,Euro 6,petrol,136.0,peugeot,408,12.0,2023.0,peugeot 408
71,10501.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892386,16499.0,Euro 6d,petrol,126.0,peugeot,2008,12.0,2021.0,peugeot 2008
73,58141.0,automatic,https://gocar.be/en/cars/peugeot/2008/15-blue-hdi-allure/id/4892451,13399.0,Euro 6d-TEMP,diesel,139.0,peugeot,2008,12.0,2018.0,peugeot 2008
74,7821.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-130p-automaat-allure-pack-climate-control-cruise-control-parkeersensoren-led-navigatie-apple-carplay-android-auto/id/4891977,25690.0,Euro 6,petrol,137.0,peugeot,2008,0.0,2024.0,peugeot 2008
75,10.0,automatic,https://gocar.be/en/cars/peugeot/2008/n-a/id/4892808,28300.0,Euro 6,petrol,112.0,peugeot,2008,24.0,2025.0,peugeot 2008
77,29554.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892411,17399.0,Euro 6d-TEMP,petrol,125.0,peugeot,2008,12.0,2021.0,peugeot 2008
78,54482.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130-ss-eat8-allure-pack-stuur-en-zetelverwarming-leder-carplay/id/4892259,23900.0,Euro 6,petrol,136.0,peugeot,408,0.0,2023.0,peugeot 408
80,82123.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4892495,9199.0,Euro 5,petrol,103.0,peugeot,2008,12.0,2017.0,peugeot 2008
81,14000.0,automatic,https://gocar.be/en/cars/peugeot/2008/12i-automcarplaynavipdcgarantie/id/4892596,13490.0,Euro 6d-TEMP,petrol,117.0,peugeot,2008,0.0,2019.0,peugeot 2008
82,22301.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-full-led-camera-ja-19/id/4891597,25998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
83,32161.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-allure-pack/id/4891363,20950.0,Euro 6,petrol,125.0,peugeot,2008,12.0,2023.0,peugeot 2008
84,54864.0,automatic,https://gocar.be/en/cars/peugeot/2008/electric-136pk-allure-22-54000km-24208/id/4890555,17985.0,Euro 6d-TEMP,electric,123.0,peugeot,2008,12.0,2022.0,peugeot 2008
85,54639.0,automatic,https://gocar.be/en/cars/peugeot/2008/electric-136pk-allure-22-54000km-24172/id/4890553,18895.0,Euro 6d-TEMP,electric,123.0,peugeot,2008,12.0,2022.0,peugeot 2008
87,3926.0,automatic,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-allure-gps-camera-alu17-led-lights/id/4890953,40710.0,Euro 6,petrol,0.0,peugeot,408,3.0,2024.0,peugeot 408
88,29648.0,automatic,https://gocar.be/en/cars/peugeot/408/12-turbo-130-automaat-allure/id/4891072,22950.0,Euro 6,petrol,136.0,peugeot,408,24.0,2024.0,peugeot 408
89,10300.0,manual,https://gocar.be/en/cars/peugeot/2008/gt-12-benzine/id/4719950,19950.0,Euro 6d,petrol,126.0,peugeot,2008,12.0,2023.0,peugeot 2008
90,84652.0,manual,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4888745,11250.0,Euro 6,petrol,105.0,peugeot,2008,0.0,2020.0,peugeot 2008
91,54000.0,automatic,https://gocar.be/en/cars/peugeot/2008/2008-puretech-130-eat8-allure/id/4890234,19990.0,Euro 6d,petrol,117.0,peugeot,2008,12.0,2023.0,peugeot 2008
93,17996.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure-pack/id/4888777,17599.0,Euro 6d,petrol,115.0,peugeot,2008,12.0,2021.0,peugeot 2008
94,14077.0,manual,https://gocar.be/en/cars/peugeot/2008/allure-12-thp-100-pk-6v/id/4889742,17990.0,Euro 6d,petrol,129.0,peugeot,2008,12.0,2024.0,peugeot 2008
95,20138.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-gt-navi-full-led-camera-ja-19/id/4890370,25998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
96,51206.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4888834,14699.0,Euro 6d-TEMP,petrol,124.0,peugeot,2008,12.0,2021.0,peugeot 2008
97,72480.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4888899,15599.0,Euro 6d,petrol,139.0,peugeot,2008,12.0,2020.0,peugeot 2008
98,18510.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4888878,17399.0,Euro 6d,petrol,132.0,peugeot,2008,12.0,2021.0,peugeot 2008
99,29771.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-line-drive-assist-vision-pack-led/id/4889873,22495.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
100,14557.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-apple-car-play-camera-navi/id/4889883,23900.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,0.0,2023.0,peugeot 2008
102,23056.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4890087,10899.0,Euro 5,petrol,103.0,peugeot,2008,12.0,2018.0,peugeot 2008
103,23113.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-gt/id/4890112,20899.0,Euro 6d,petrol,134.0,peugeot,2008,12.0,2023.0,peugeot 2008
104,29480.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4890140,15199.0,Euro 6d,petrol,122.0,peugeot,2008,12.0,2022.0,peugeot 2008
105,50415.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-active-pack/id/4887365,13399.0,Euro 6,petrol,123.0,peugeot,2008,12.0,2021.0,peugeot 2008
106,56266.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure-ss/id/4887505,15998.0,Euro 6,petrol,109.0,peugeot,2008,12.0,2020.0,peugeot 2008
107,63578.0,manual,https://gocar.be/en/cars/peugeot/2008/16-bluehdi-100cv-63000km-tpano-cuir-clim/id/4887236,9900.0,Euro 6b,diesel,97.0,peugeot,2008,12.0,2016.0,peugeot 2008
108,35751.0,manual,https://gocar.be/en/cars/peugeot/2008/style-12i-100pk/id/4888011,16490.0,Euro 6,petrol,122.0,peugeot,2008,12.0,2023.0,peugeot 2008
109,74997.0,manual,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4887437,9299.0,Euro 5,petrol,103.0,peugeot,2008,12.0,2018.0,peugeot 2008
110,25418.0,automatic,https://gocar.be/en/cars/peugeot/408/130-pk-at-camera-keyless-navi-airco-adapt-cruise-contr-carplayandroid/id/4887248,22490.0,Euro 6,petrol,117.0,peugeot,408,0.0,2024.0,peugeot 408
111,29995.0,manual,https://gocar.be/en/cars/peugeot/2008/12-i-benzine-100pk-allure-360-camera-blis-acc-24-29000km-43930/id/4887573,19850.0,Euro 6d,petrol,123.0,peugeot,2008,12.0,2024.0,peugeot 2008
112,67297.0,manual,https://gocar.be/en/cars/peugeot/2008/12i-puretech-83pk-navigatie-carplay-bluetooth-ac/id/4887402,9999.0,Euro 6d-TEMP,petrol,114.0,peugeot,2008,12.0,2019.0,peugeot 2008
113,17802.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-allure-130-pk-automaat-navigatie-apple-carplayandroid-auto-airco-camera-parkeer-sensoren-cruise-control-led-lichtmetalen-velgen-stoelverwarming/id/4886010,27340.0,Euro 6d-TEMP,petrol,136.0,peugeot,408,0.0,2024.0,peugeot 408
114,64200.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-2008-50-kwh-gt-tva-recup-carplay-pano-camera/id/4886130,18490.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,12.0,2021.0,peugeot 2008
115,63158.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-81kw-ss-eat6-allure/id/4886929,12950.0,Euro 5,petrol,129.0,peugeot,2008,12.0,2019.0,peugeot 2008
116,18791.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-allure/id/4886686,13899.0,Euro 6d-TEMP,petrol,155.0,peugeot,2008,12.0,2018.0,peugeot 2008
117,58654.0,manual,https://gocar.be/en/cars/peugeot/2008/allure/id/4883477,9999.0,Euro 6,petrol,103.0,peugeot,2008,12.0,2017.0,peugeot 2008
118,10957.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure/id/4883384,22950.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2024.0,peugeot 2008
119,4152.0,automatic,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-gt-gps-camera-led-lights-alu19/id/4883646,39575.0,Euro 6,petrol,0.0,peugeot,408,3.0,2024.0,peugeot 408
121,40063.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-eat8-active/id/4883465,18650.0,Euro 6,petrol,133.0,peugeot,2008,12.0,2023.0,peugeot 2008
124,10701.0,automatic,https://gocar.be/en/cars/peugeot/408/180pk-plugin-hybr-360-camera-dodehoekdet-adapt-cruise-contr-carplay-trekhaak/id/4883540,30900.0,Euro 6d,hybrid - petrol,26.0,peugeot,408,0.0,2024.0,peugeot 408
125,28498.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-2008-allure-pack-camera-carplay-led/id/4882212,21900.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,0.0,2023.0,peugeot 2008
126,26346.0,automatic,https://gocar.be/en/cars/peugeot/2008/e-gt-50-kwh-e-gt-50-kwh-at-gps-carplay-halfleder-camera-pdc-cruise-alu-17/id/4881455,20995.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,0.0,2021.0,peugeot 2008
127,33150.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure-50-kwh-allure-50-kwh-at-carplay-halfleder-pdc-cruise-alu-17/id/4881792,22495.0,Euro 6d-TEMP,electric,117.0,peugeot,2008,0.0,2022.0,peugeot 2008
128,78870.0,manual,https://gocar.be/en/cars/peugeot/2008/2008-12-allure/id/4881699,13990.0,Euro 6,petrol,117.0,peugeot,2008,0.0,2021.0,peugeot 2008
129,26418.0,automatic,https://gocar.be/en/cars/peugeot/2008/puretech-ss-gt-eat8/id/4881425,23000.0,Euro 6,petrol,137.0,peugeot,2008,24.0,2023.0,peugeot 2008
130,89180.0,manual,https://gocar.be/en/cars/peugeot/2008/15-bluehdi-gt-lederstof-led-gps-pdc-grip-control-acc-trekhaak/id/4881821,18790.0,Euro 6d,diesel,118.0,peugeot,2008,12.0,2021.0,peugeot 2008
131,49887.0,manual,https://gocar.be/en/cars/peugeot/2008/2008-12-puretech-allure-carplay-navi-cuir-camera/id/4881907,13950.0,Euro 6d,petrol,117.0,peugeot,2008,12.0,2020.0,peugeot 2008
132,16709.0,automatic,https://gocar.be/en/cars/peugeot/408/gt-plugin-hybr-180-pk-pano-schuifd-massage-leder-camera-keyless-navi/id/4879928,31900.0,Euro 6,hybrid - petrol,117.0,peugeot,408,0.0,2024.0,peugeot 408
133,38003.0,automatic,https://gocar.be/en/cars/peugeot/408/n-a/id/4880509,24790.0,Euro 6d,petrol,125.0,peugeot,408,12.0,2024.0,peugeot 408
134,46614.0,automatic,https://gocar.be/en/cars/peugeot/2008/15-bluehdi-allure-apple-carplay-camera-cruise-control/id/4879957,22244.0,Euro 6d-TEMP,diesel,131.0,peugeot,2008,0.0,2023.0,peugeot 2008
135,19933.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4881217,23998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
136,30160.0,manual,https://gocar.be/en/cars/peugeot/2008/2008-puretech-100-allure-navi-smartlink-pdccc/id/4880660,18650.0,Euro 6,petrol,126.0,peugeot,2008,12.0,2024.0,peugeot 2008
137,2.0,automatic,https://gocar.be/en/cars/peugeot/2008/hybrid-allure-e-dsc6/id/4879911,26500.0,Euro 6,hybrid - petrol,110.0,peugeot,2008,24.0,2024.0,peugeot 2008
138,50568.0,automatic,https://gocar.be/en/cars/peugeot/2008/gt-pack-full-option/id/4879936,19995.0,Euro 6,petrol,137.0,peugeot,2008,12.0,2021.0,peugeot 2008
139,45284.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-essence-boite-auto-faible-km/id/4879335,10950.0,Euro 5,petrol,111.0,peugeot,2008,0.0,2017.0,peugeot 2008
140,90137.0,manual,https://gocar.be/en/cars/peugeot/2008/style/id/4879565,8450.0,Euro 5,petrol,114.0,peugeot,2008,12.0,2018.0,peugeot 2008
141,103630.0,automatic,https://gocar.be/en/cars/peugeot/2008/2008-15-bluehdi-allure-packgpscarplayledcam/id/4879559,15950.0,Euro 6d,diesel,129.0,peugeot,2008,12.0,2020.0,peugeot 2008
142,33505.0,automatic,https://gocar.be/en/cars/peugeot/408/allure-pack-cuir-navi-full-led/id/4879166,23999.0,Euro 6,petrol,136.0,peugeot,408,12.0,2023.0,peugeot 408
143,33909.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-t-130-eat8-gt-line-gps-drive-assist-vision-pack-led/id/4879581,22495.0,Euro 6,petrol,0.0,peugeot,2008,3.0,2024.0,peugeot 2008
144,69674.0,manual,https://gocar.be/en/cars/peugeot/2008/active/id/4879066,11990.0,Euro 6d-TEMP,petrol,5.0,peugeot,2008,12.0,2020.0,peugeot 2008
145,29180.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure-pack/id/4878164,23900.0,Euro 6,petrol,105.0,peugeot,2008,12.0,2023.0,peugeot 2008
146,13587.0,automatic,https://gocar.be/en/cars/peugeot/2008/style/id/4878413,22950.0,Euro 6d-TEMP,electric,0.0,peugeot,2008,12.0,2023.0,peugeot 2008
147,24889.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4878317,23998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
148,15962.0,automatic,https://gocar.be/en/cars/peugeot/408/12-mild-hybrid-gt/id/4878640,29299.0,Euro 6,petrol,115.0,peugeot,408,12.0,2024.0,peugeot 408
150,15000.0,automatic,https://gocar.be/en/cars/peugeot/2008/allure/id/4877100,23900.0,Euro 6,petrol,122.0,peugeot,2008,12.0,2023.0,peugeot 2008
151,40931.0,automatic,https://gocar.be/en/cars/peugeot/2008/ii-allure-pack/id/4877092,21900.0,Euro 6,petrol,103.0,peugeot,2008,12.0,2022.0,peugeot 2008
152,36568.0,manual,https://gocar.be/en/cars/peugeot/2008/ii-allure/id/4877078,17490.0,Euro 6,petrol,125.0,peugeot,2008,12.0,2021.0,peugeot 2008
153,14411.0,automatic,https://gocar.be/en/cars/peugeot/408/12-t-130-eat8-gt-gps-led-alu18/id/4875228,45510.0,Euro 6,petrol,0.0,peugeot,408,3.0,2024.0,peugeot 408
154,28027.0,manual,https://gocar.be/en/cars/peugeot/2008/100-pk-mt-parkeers-va-airco-cruise-contr-carplayandroid/id/4874877,17900.0,Euro 6,petrol,117.0,peugeot,2008,0.0,2024.0,peugeot 2008
155,19071.0,automatic,https://gocar.be/en/cars/peugeot/408/12-puretech-130cv-eat8-allure-navi-full-led-keyless/id/4875393,23998.0,Euro 6,petrol,136.0,peugeot,408,12.0,2024.0,peugeot 408
156,67781.0,automatic,https://gocar.be/en/cars/peugeot/2008/12-puretech-96kw-ss-eat8-style/id/4875532,16500.0,Euro 6,petrol,133.0,peugeot,2008,12.0,2021.0,peugeot 2008
157,65000.0,manual,https://gocar.be/en/cars/peugeot/2008/12-pure-tech-allure-042016-65000-km/id/4875724,8450.0,Euro 6b,petrol,103.0,peugeot,2008,0.0,2016.0,peugeot 2008
159,76293.0,manual,https://gocar.be/en/cars/peugeot/2008/allure-pack-12i-130pk/id/4874508,14990.0,Euro 6,petrol,103.0,peugeot,2008,12.0,2021.0,peugeot 2008
160,30452.0,manual,https://gocar.be/en/cars/peugeot/2008/100-pk-mt-parkeers-va-airco-cruise-contr-carplayandroid/id/4874426,17900.0,Euro 6,petrol,117.0,peugeot,2008,0.0,2024.0,peugeot 2008
